q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
46958908,,,Auto skill queue (“skill axis”) system for battles where you pre-edit skill orders; pets/skills added to the queue execute automatically.,-1.0,"Edited skills get deleted in runs; some pet skills can’t be added and placeholders like 'asdasd' appear, indicating broken combat automation.",Pre-battle skill order editing for each unit/pet (skill axis).,-1.0,"Skill order system frequently resets or refuses inputs due to bugs, undermining any tactical setup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skill axis resets skills; some skills show placeholder text; pet skills cannot be added.
46955237,,,Combat features flashy pixel-style ultimate animations.,1.0,Early impression of battle visuals is positive with big ult cut-ins.,,,,-1.0,"Core loop is just dungeon farming; open maps have only chests and almost no interaction, leading to fast fatigue.",,,,,Light overworld exploration with treasure chests; repeated dungeon runs.,,1.0,"Secondary activities are very simple (open chests), with little interaction so they get boring quickly.",,,,,,,,,,,,,,,,,,,,,,,
46958102,,,Simplistic JRPG-style exchanges where two sprites fling effects and huge damage numbers.,-2.0,Shallow effect-spam presentation with inflationary numbers feels low quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too many currency types; no clear landscape mode; only a female protagonist option.
46957862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern internet slang in text breaks immersion.
46956348,,,Has an 'Ougi/Ultimate' system that auto-chains; currently several units dump ultimates at once.,-1.0,Lack of control over ultimate timing leads to clumped Ougi usage.,Requested toggle to independently enable/disable ultimate releases.,-1.0,Missing basic control (ultimate on/off) reduces tactical control in combat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46955938,,,Battles are lengthy single encounters.,-2.0,"Single fights take excessively long, hurting moment-to-moment fun.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46955557,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Grind exists but isn’t severe; play feels flexible for spenders and non-spenders.,1.0,Spending pressure feels light; 'you can spend a lot or play frugally'.,,,,,,,,,,,
46950677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely buggy test build; warns launch will fail if bugs persist.
46948892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Test build offered around 200 free pulls, making gacha very generous.",,,,,,,,,
46948882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46947048,True,Sexualized female character designs with very revealing outfits.,Turn-based battles with a 'skip turn' option but no speed-up and no battle skip.,-1.0,Runs are long with no 2x speed or skip; skipping turns repeatedly is tedious and sometimes freezes.,Elemental team building (switched from Earth to higher-damage Fire).,0.0,"Element choice affects damage, but no deeper tactics discussed.",-1.0,Daily loop devolves into repetitive dungeon farming with no sweep; little to do after spending stamina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertical-only with large central interaction button; requests customizable UI; occasional freeze when skipping turns.
46944187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,After a force-close the game loads to a black screen and cannot enter.
46944183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black screen on launch on a mid-range phone; game won’t load.
46944148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Game fails to open, stuck on a black screen."
46942427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46942153,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Low grind and low monetization burden; easy to play casually.,,,,,,,,,,,,,Server instability and mediocre optimization.
46938373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Many impactful bugs; new characters feel off; materials lack exchange; weapon enchant not implemented; overall poor experience.
46938164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46937790,,,,,,,,,-2.0,Main quests and dungeons failed to unlock for a week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core features like mainline and instance access didn’t open.
46935235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46934951,,,No battle speed-up or skip; material dungeons also lack sweep; a single fight can last up to ~40 minutes.,-2.0,Excessive time per battle with no QoL (speed/skip/sweep).,,,,-1.0,"Main character jobs don’t share breakthrough levels, forcing duplicate investment; early gacha off-rates make a coherent team hard to assemble.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed centered joystick hampers one-hand play; desire for horizontal mode; visuals look slightly blurry.
46934689,,,,,,,,,,,,,,,,,,,,,1.0,Developers respond and fix issues quickly despite messy code.,,,,,,,,,,,,,,,,,,,
46934639,True,Breast jiggle and skirts so short they expose buttocks.,Very simple combat; tutorial immediately guides into auto-battle with one-click formation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46934579,,,,,,,,,,,,,,,,,,,,,,,True,"Has a spark/pity system (players reference '2 sparks' with 400 pulls), though banners reportedly lack a clear UP target.",,,,,,,,,,,,,,,,,
46934152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concerns about stability and minor issues after launch.
46825957,,,,,,,,,-1.0,"High material demands with low drops (e.g., breakthrough 15, 'black heart'); progression feels punitive.",,,,,,,,,,,-1.0,"Frequent server issues; major bugs take many hours to fix; compensation delayed or insufficient, though some feedback has been adopted.",,,,,,,,,-1.0,"Compensation and test rewards are stingy, e.g., limited draws from 'friend fees'.",,,,,,,,,"Server crashes, exploit fixes delayed, low drop rates adjusted only when new event required them, event resource infinite farm bug, skill-axis issues remain."
46931127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46874622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini-map opens world map instead of local; few or no side quests; resource nodes scarce and don’t refresh; no male protagonist option; perceived drop rate nerfs; heroes and monsters share a banner causing monsters to lag in stars.
46928613,,,"Traditional turn-based system with per-turn actions, multi-skill casting and stacking buffs; 10 equipment slots where only one is for the protagonist’s weapon.",-1.0,Combat feels plain and buff-stacky.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No horizontal mode; fixed central movement stick; recharge/gacha UI blacked out and purchase items disappeared; lost items after relog.
46928089,,,"Pure numeric, turn-based card/battle system with early manual then early-unlocked auto; flashy skills and special shots.",1.0,"Solid presentation and auto makes it smooth, though conventional.","Party of 4+2 reserves; same-attribute synergy; one-click team/weapon/partner configuration; leveling and breakthrough across characters, weapons, and monster partners.",1.0,Multiple interlocking growth systems and attribute synergies add planning depth.,-1.0,Progress slows into routine dungeon farming with slow feature unlocks and foreseeable power checks requiring grind or pay.,,,,,"Open-map exploration with light puzzles, autopathing, treasure and item discovery alongside main dungeon farming.",False,1.0,Exploration is straightforward with autopath and simple finds.,1.0,Exploration yields chests and scattered items to support growth.,,,True,Multiple banners including two limited; pity at 30 pulls for an SSR.,,,,,-1.0,Many shop bundles and overall deep monetization.,1.0,"Server issues and tests granted ample resources (~200 pulls), enabling a full mono-attribute team.",,,,,,,,,
46834000,,,Turn-based with auto-battle and skill order; no sweep; multi-minute boss fights at equal recommended power; features an 'Ougi chain' (ultimate link).,-1.0,Lengthy fights and lack of sweep make farming tedious despite auto.,"Skill order configuration, ultimate chain synergy, role filtering for team-building (requested), recommended teams.",1.0,"There are combo and sequencing mechanics, but guidance/UI are lacking.",-1.0,Key items like 'proofs' drop sparsely; progress hinges on low-probability drops and limited stamina.,,,,,Alchemy/refining to craft items like proofs; multiplayer co-op bosses; fishing; simplified dailies.,False,-1.0,"Secondary systems exist but are under-explained or awkward to use (alchemy undiscoverable, fishing purpose unclear).",-1.0,Low drop rates for essential items; fishing yields trivial materials; daily rewards reduced.,,,True,30-pull pity for SSR; test provided ~200 pulls.,,,,,,,2.0,Test-time freebies were very generous (~200 pulls plus stamina and items).,,,,,,,,,"Frequent freezes/soft-locks, crashes; missing effect descriptions; weapon upgrade materials lack dedicated source; event duration and banner cadence feel too short; copy-paste skill order bugs."
46819888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small team with many issues but claims ongoing optimization.
46899786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Severe bugs (drop rates, missing texts, sprite conflicts), device overheating even at low settings, heavy light pollution, lack of monster codex and effect descriptions, post-mainline content is only material grinding, no horizontal mode and only wheel movement."
46925596,True,Overly revealing character outfits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46925542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highly streaky drop rates—periods of abundance followed by droughts.
46925204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46925128,,,Auto skill release via skill order list per unit.,-2.0,Skill automation alternates between only the protagonist casting or everyone but the protagonist; custom skill lists reset mid-play.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skill list UI showed empty icons; saved skill orders randomly cleared.
43495890,,,,,,,,,-2.0,Severe power creep and low drops with stamina limits block progression unless you grind heavily or max gacha gear/pets.,,,,,,,,,,,,,,,,,-2.0,Non-spenders cannot solo farm; later bosses unplayable without paying and top gear.,-2.0,Upgrading relies on rare drops or maxing UP weapons/pets via gacha.,,,,,,,,,,,Extremely low drops in boss dungeons and no AI assist; co-op required even to attempt new content.
46924821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After maintenance, event resources from 'Machine God Descends' disappeared."
46895365,,,,,,,,,,,,,,,Fishing and simplified dailies (currently shallow).,,0.0,Fishing is basic but present.,-2.0,Fishing rewards are trivial and lack systems (no cooking); daily rewards also reduced.,,,,,,,,,,,-1.0,Daily rewards became sparse after simplification.,,,,,,,,,6-player boss rooms suffer AFK leechers and host can’t kick; revival item bug; event progress reset; banner skill labeling errors; no material salvage or event currency sink.
