review_id,sensitive_content,sensitive_content_list,sensitive_content_rating,sensitive_content_rating_reason,core_combat_mechanics_description,combat_satisfaction_rating,combat_satisfaction_rating_reason,strategic_tactical_depth_rating,strategic_tactical_depth_rating_reason,hero_team_setup_diversity_rating,hero_team_setup_diversity_rating_reason,game_progression_experience_rating,game_progression_experience_rating_reason,hero_leveling_path_openness_rating,hero_leveling_path_openness_rating_reason,game_mode_variety_rating,game_mode_variety_rating_reason,secondary_core_loop_description,secondary_core_loop_being_tycoon_crafting,secondary_core_loop_simplicity_rating,secondary_core_loop_simplicity_rating_reason,abundance_of_resources_earned_from_secondary_core_loop_rating,abundance_of_resources_earned_from_secondary_core_loop_rating_reason,ease_of_game_control_rating,ease_of_game_control_rating_reason,player_engagement_events_frequency_rating,player_engagement_events_frequency_rating_reason,player_engagement_events_diversity_rating,player_engagement_events_diversity_rating_reason,daily_weekly_missions_login_incentives_effectiveness_rating,daily_weekly_missions_login_incentives_effectiveness_rating_reason,new_content_and_meta_evolving_frequency_rating,new_content_and_meta_evolving_frequency_rating_reason,gacha_guarantee_mechanism,gacha_guarantee_mechanism_description,gacha_pull_price_reasonableness_rating,gacha_pull_price_reasonableness_rating_reason,availability_of_major_features_to_non_paying_user_rating,availability_of_major_features_to_non_paying_user_rating_reason,pressure_for_spending_rating,pressure_for_spending_rating_reason,abundance_and_meaningfulness_of_free_rewards_rating,abundance_and_meaningfulness_of_free_rewards_rating_reason,clarity_and_intuitiveness_of_menus_and_ui_interactions_rating,clarity_and_intuitiveness_of_menus_and_ui_interactions_rating_reason,clarity_of_gameplay_explanation_by_the_tutorial_rating,clarity_of_gameplay_explanation_by_the_tutorial_rating_reason,polish_and_coherence_of_art_style_rating,polish_and_coherence_of_art_style_rating_reason,satisfaction_and_clarity_of_animation_rating,satisfaction_and_clarity_of_animation_rating_reason,quality_of_sound_effect_bgm_voice_rating,quality_of_sound_effect_bgm_voice_rating_reason,abundance_of_cooperative_social_function_rating,abundance_of_cooperative_social_function_rating_reason,abundance_of_competitive_social_function_rating,abundance_of_competitive_social_function_rating_reason,ip_integration_faithfulness_and_authenticity_rating,ip_integration_faithfulness_and_authenticity_rating_reason,depth_of_IP_integration_rating,depth_of_IP_integration_rating_reason,lightness_of_installation_file_rating,lightness_of_installation_file_rating_reason,ingame_downloading_experience_rating,ingame_downloading_experience_rating_reason
44537218,False,N/A,0,The review does not mention any sensitive content.,The review mentions combat in terms of luck and equipment but does not describe core mechanics.,0,The review mentions luck in combat but does not express satisfaction or dissatisfaction.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,1,The review mentions that the game can be played comfortably with minimal spending.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,1,The review mentions changes and efforts by developers.,False,N/A,N/A,N/A,1,The review mentions that the game can be played without spending.,0,The review mentions spending but does not express pressure.,1,The review mentions that the game provides sufficient rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,0,The review does not mention art style.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,1,The review mentions the importance of playing with others.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44536451,False,N/A,0,The review does not mention any sensitive content.,The review mentions physical combat speed and team roles.,0,The review does not express satisfaction or dissatisfaction with combat.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,0,The review does not mention game progression.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,0,The review does not mention features for non-paying users.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,0,The review does not mention art style.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44532959,False,N/A,0,The review does not mention any sensitive content.,The review mentions speed and team roles in combat.,0,The review does not express satisfaction or dissatisfaction with combat.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,0,The review does not mention game progression.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,0,The review does not mention features for non-paying users.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,0,The review does not mention art style.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44525303,False,N/A,0,The review does not mention any sensitive content.,N/A,1,"The review states the game is quite good, implying satisfaction.",0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,1,The review implies a positive experience with the game.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,0,The review does not mention features for non-paying users.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,0,The review does not mention art style.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44522083,False,N/A,0,The review does not mention any sensitive content.,N/A,1,The review expresses a positive opinion about the game.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,1,The review mentions a positive experience with the game.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,1,The review implies that the game can be played without spending.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,0,The review does not mention art style.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44517437,False,N/A,0,The review does not mention any sensitive content.,N/A,0,The review does not mention combat satisfaction.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,0,The review does not mention game progression.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,0,The review does not mention features for non-paying users.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,1,The review mentions the art style is good.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44517423,False,N/A,0,The review does not mention any sensitive content.,The review mentions the game lacks innovation and strategic depth.,0,The review mentions the game is old-fashioned with no substantial innovation.,-1,The review explicitly states that strategic depth is lacking.,0,The review does not mention hero team setup diversity.,0,The review does not mention game progression.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,1,The review mentions the game can be played in both landscape and portrait modes.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,0,The review does not mention features for non-paying users.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,1,The review mentions the art style is refined and not flashy.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44512891,False,N/A,0,The review does not mention any sensitive content.,N/A,1,The review states the game is fun and fair.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,1,The review mentions the game is enjoyable and fair.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,1,The review implies the game is fair for non-paying users.,0,The review does not mention pressure for spending.,1,The review suggests more rewards would be appreciated.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,0,The review does not mention art style.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44490308,False,N/A,0,The review does not mention any sensitive content.,N/A,1,The review mentions that the characters are very attractive and well-designed.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,-1,The review mentions the game is a bit too grindy.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,0,The review does not mention features for non-paying users.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,1,The review mentions the character design is very good.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
44484940,False,N/A,0,The review does not mention any sensitive content.,N/A,0,The review does not mention combat satisfaction.,0,The review does not mention strategic or tactical depth.,0,The review does not mention hero team setup diversity.,0,The review does not mention game progression.,0,The review does not mention hero leveling paths.,0,The review does not mention game mode variety.,N/A,N/A,N/A,N/A,N/A,N/A,0,The review does not mention game control.,0,The review does not mention player engagement events.,0,The review does not mention player engagement events.,0,The review does not mention daily or weekly missions.,0,The review does not mention new content or meta evolution.,False,N/A,N/A,N/A,0,The review does not mention features for non-paying users.,0,The review does not mention pressure for spending.,0,The review does not mention free rewards.,0,The review does not mention menus or UI.,0,The review does not mention the tutorial.,0,The review does not mention art style.,0,The review does not mention animation.,0,The review does not mention sound effects or music.,0,The review does not mention cooperative social functions.,0,The review does not mention competitive social functions.,N/A,The review does not mention IP integration.,N/A,The review does not mention IP integration.,0,The review does not mention the installation file.,0,The review does not mention the in-game downloading experience.
