q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
44455300,,,,,,,,,,,,,,,,,,,,,-2.0,Frequent changes in the game.,,,,,,,,,,,,,,,,,,,
44454543,,,,,,,,,,,-1.0,Request for strengthening a specific character (Dragon Palace).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44443894,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Non-paying users can still enjoy the game.,,,2,The game provides good free rewards.,,,,,,,,,
44442712,,,Turn-based combat.,1.0,Limited options for turn-based vertical games.,,,,,,,,,,,,,,,,,,,,,,1,Non-paying users can play but with some limitations.,,,,,,,,,,,,,
44439686,,,,,Unique gameplay attracts players.,,,,2,Unique gameplay and setting in Chang'an City.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44439228,,,,,,,,,-2,Difficulty in completing beginner tasks and main quests.,,,,,,,,,,,,,,,,,-2,Spending money did not improve the experience.,,,,,,,,,,,,,
44437437,,,,,,,,,,,-1.0,Changes in character speed and strategy over time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44436533,,,,,,,,,,,-1.0,Certain characters (Guling) are perceived as too strong.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44428538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concerns about pet skills and their usability.
44421749,,,,,,PVP strategy with pets and skills.,1.0,Strategic use of pet skills in PVP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44420592,,,,,,,,,,,-1.0,Character (Putuo) healing ability is insufficient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36088428,,,,,,,,,-2,Game becomes increasingly difficult and frustrating over time.,,,,,,,,,,,,,,,,,,,-2,Game heavily favors paying players.,,,,,,,,,,,Poor optimization and player feedback.
44415901,,,,,,,,,1,Mid-game experience is highlighted as positive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44414734,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Non-paying users can play but with limitations compared to paying users.,,,,,,,,,,,,,
44409309,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Non-paying users can acquire resources over time.,-1,Game requires spending for significant progress.,1,Free rewards are available but limited.,,,,,,,,,Technical issues and presence of bots.
44403061,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Non-paying users can play but with limited experience.,,,,,,,,,,,,,
44402934,,,,,,,,,,,-1.0,Over-reliance on a single character (Guling) in teams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
