q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
44537218,,,,,"The reviewer finds the game frustrating due to the significant luck disparity between accounts, but acknowledges that the game is still rewarding despite nerfs. The presence of a team enhances the experience.",,,,,,,,,,,,,,,,,,,,,,,"The game can be played comfortably with a three-card setup, and zero-spending players can still enjoy the game.",,"The game has undergone changes to improve player experience, but the reviewer advises against actions that betray players.",,,,,,,,,,,
44536451,,,,,"The reviewer mentions the importance of speed in combat, suggesting that it affects the ability to join teams.",Speed is crucial for combat effectiveness.,,Speed is a tactical feature that affects team dynamics and combat effectiveness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44532959,,,,,"The reviewer discusses character abilities and their impact on combat, indicating a level of depth in strategy.",Character abilities and their interactions in combat.,,The review highlights the importance of character abilities and their strategic use in combat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44522083,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game is enjoyable with a three-card setup, and the reviewer finds the experience satisfactory.",,The reviewer acknowledges the difference between non-paying and paying players but finds the experience acceptable.,,,,,,,,,,,
44517437,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game can be played for an hour a day, indicating a manageable level of commitment.",,"The game requires a moderate amount of time investment, but it is not excessive.",,,,,,,,,,,
44517423,,,,,The reviewer finds the combat mechanics to be standard and lacking innovation.,The game lacks strategic innovation.,,The reviewer feels that the game does not offer new strategic elements.,,,,,,,,,,,,,,,,,,,,The game is comfortable to play with flexible screen orientations and a visually pleasing interface.,,,,,,,,,,,,,
44512891,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game is enjoyable and fair, but the reviewer wishes for more rewards.",,,,The reviewer appreciates the game's fairness but desires more free rewards.,,,,,,,,,
44490308,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game is engaging, but the reviewer finds it requires significant time investment.",,"The game demands a lot of time, which may be a barrier for some players.",,,,,,,,,,,
44471174,,,,,The reviewer considers the game the best turn-based mobile game they have played.,,,,,,,,,,,,,,,,,,,,,,,"The reviewer is highly satisfied with the game, considering it the best in its genre.",,,,,,,,,,,,,
42881638,,,,,"The reviewer feels the game has become more pay-to-win over time, making it difficult for free players.",,,,,,,,,,,,,,,,,,,,,,,"The game has shifted towards catering to paying players, making it less accessible for free players.",,"The game has become more focused on monetization, which is frustrating for non-paying players.",,,,,,,,,,,
44466854,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game allows for free play, and the reviewer notes an improvement in its rating.",,,,"The game offers opportunities for free play, contributing to its improved rating.",,,,,,,,,
44272380,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game offers many rewards for returning players, making it suitable for long-term play.",,,,"The game provides ample rewards for returning players, enhancing the experience.",,,,,,,,,
44180773,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game is enjoyable with a fixed team, and the reviewer appreciates the game's overall design.",,"The game is more enjoyable with a fixed team, and the reviewer finds the overall experience positive.",,,,,,,,,,,
44141165,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game is playable with a three-card setup, and zero-spending players can still enjoy it.",,The game offers a fair experience for both paying and non-paying players.,,The game provides a reasonable amount of resources and rewards for players.,,,,,,,,,
44123692,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game is heavily monetized, with many bugs and issues affecting the experience.",,"The game has a high level of monetization, which may be off-putting for some players.",,,,,,,,,,,
44072506,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The game is accessible to free players, and the reviewer plans to provide a guide for others.",,,,"The game is accessible to free players, and the reviewer intends to share their experience.",,,,,,,,,
43967732,,,,,"The review describes the game as the most conscientious among all turn-based games played by the user, indicating a very positive satisfaction with the combat mechanics.",,,,2.0,"The game is described as the most conscientious turn-based game, suggesting a positive progression experience.",,,,,,,,,,,,,,,,,2.0,"The review implies that the game is fair and considerate, likely offering good access to features for non-paying users.",,,,,,,,,,,,,
43959014,,,,,"The user finds the game satisfactory for a turn-based game, indicating a positive combat experience.",,,,1.0,"The user finds the game satisfactory but suggests more benefits, indicating a generally positive progression with room for improvement.",,,,,,,,,,,,,,,,,,,,,1.0,"The user hopes for more benefits, suggesting that while there are free rewards, they could be more generous.",,,,,,,,,
43957612,,,,,,,,,,,,,,,"The game is described as a nurturing game, suggesting a secondary core loop of character or pet development.",False,1.0,"The game is playable without comparison, indicating a simple secondary loop.",,,,,,,,,1.0,"The game is playable with a good mindset, suggesting reasonable access to features for non-paying users.",,,,,,,,,,,,,
43920383,,,,,"The game is described as very fun and a long-term game, indicating a very positive combat experience.",,,,2.0,"The game is described as very fun and suitable for long-term play, indicating positive progression.",,,,,,,,,,,,,,,,,2.0,"The game is described as providing many benefits for non-paying players, indicating good access to features.",,,2.0,"The user mentions many benefits for non-paying players, indicating a generous amount of free rewards.",,,,,,,,,
43914443,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"The game is described as comfortable for non-paying players, indicating good access to features.",,,,,,,,,,,,,
43909501,,,,,"The user praises the game's graphics, indicating satisfaction with the visual aspect of the game.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43908018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,"The user experiences severe issues with the PC version, indicating a very negative in-game download experience.",
43892494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,"The user experiences frequent lag and issues, leading to a very negative in-game experience.",
43881055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user struggles with finding team members for tasks, indicating issues with forced team play."
43876312,,,,,"The user finds the game very enjoyable, indicating a very positive combat experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43846628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user describes the server as a 'ghost server,' indicating a lack of active players."
43842188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user criticizes the auction system and event rules, indicating dissatisfaction with these features."
43839620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user describes the game as deceptive, with misleading events and announcements."
43838297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user reports inconsistencies in event rewards, indicating dissatisfaction with the game's reliability."
43690553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user is frustrated with the requirement to team up for all activities, indicating a lack of solo play options."
43671248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user reports frequent server issues and insufficient compensation, indicating dissatisfaction with server stability."
43670673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user is frustrated with event-related lag and insufficient compensation.
43669858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,The user is dissatisfied with the large installation file size.,,,
43668853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user criticizes the lack of customer service and frequent disconnections.
43668620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user reports severe lag during events and insufficient compensation.
43667712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user describes the game as fraudulent with severe server issues.
43667551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user reports severe lag and issues with event participation.
43667419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user is frustrated with frequent lag during events.
43667253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user criticizes the server capacity and frequent lag, describing the game as money-focused."
43667237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The user reports frequent lag and insufficient compensation, questioning the game's integrity."
43667162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user is frustrated with server issues and frequent disconnections.
43667153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user reports frequent lag and disconnections during events.
43667147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user suggests requesting refunds due to poor server performance and false advertising.
43667138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user reports severe lag and insufficient compensation during major events.
43667137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The user criticizes server performance and insufficient compensation during events.
